Frames, Pages, Faults, Reads, Writes
5, 100, 1736, 1086, 650
10, 100, 1359, 829, 530
15, 100, 1299, 800, 499
20, 100, 1134, 673, 461
25, 100, 950, 567, 383
30, 100, 879, 514, 365
35, 100, 828, 475, 353
40, 100, 817, 460, 357
45, 100, 822, 461, 361
50, 100, 664, 388, 276
55, 100, 688, 392, 296
60, 100, 673, 382, 291
65, 100, 658, 372, 286
70, 100, 643, 362, 281
75, 100, 628, 352, 276
80, 100, 570, 300, 270
85, 100, 565, 300, 265
90, 100, 560, 300, 260
95, 100, 555, 300, 255
100, 100, 200, 100, 100
